0, 0, 0
130, 0, 0
45, 4, 4
125, 113, 117
0, 0, 85
16, 16, 16
40, 40, 40
0, 81, 0
142, 210, 150
210, 8, 4
53, 16, 85
223, 65, 32
16, 16, 32
45, 24, 138
85, 0, 0
0, 0, 24
182, 125, 125
40, 61, 45
125, 53, 49
0, 166, 0
45, 142, 97
20, 32, 32
0, 0, 138
12, 28, 12
223, 81, 49
231, 235, 243
162, 154, 158
210, 53, 20
0, 0, 16
57, 158, 65
85, 32, 24
174, 4, 0
61, 69, 16
0, 0, 40
49, 20, 40
0, 49, 0
16, 16, 40
138, 138, 154
65, 0, 0
0, 0, 113
77, 215, 85
247, 20, 0
170, 178, 182
125, 69, 65
4, 53, 40
85, 45, 24
53, 53, 194
0, 113, 0
65, 65, 81
8, 8, 8
65, 61, 61
0, 0, 162
206, 206, 206
69, 36, 40
215, 85, 69
130, 24, 8
0, 247, 0
8, 8, 16
0, 0, 32
8, 36, 89
85, 20, 12
0, 36, 57
57, 20, 20
247, 20, 20
223, 186, 186
16, 40, 16
0, 0, 61
85, 158, 20
40, 16, 16
186, 53, 28
16, 16, 49
16, 16, 24
251, 73, 32
81, 81, 85
40, 40, 49
178, 24, 4
251, 49, 8
134, 134, 198
186, 162, 166
219, 219, 223
109, 113, 121
65, 81, 158
162, 73, 81
93, 61, 65
49, 49, 227
24, 24, 32
210, 28, 0
105, 32, 24
24, 24, 170
24, 24, 24
4, 93, 36
219, 101, 89
0, 0, 8
125, 130, 138
53, 57, 57
49, 49, 57
0, 0, 101
182, 186, 202
251, 40, 0
0, 134, 0
28, 32, 49
24, 24, 49
146, 24, 4
243, 130, 117
251, 251, 251
0, 0, 130
8, 8, 24
150, 0, 0
97, 24, 16
150, 154, 158
45, 45, 178
251, 49, 16
53, 49, 85
40, 40, 65
61, 32, 24
0, 101, 0
93, 97, 101
4, 61, 32
12, 12, 142
24, 0, 0
166, 170, 186
113, 40, 32
210, 36, 24
190, 0, 4
53, 105, 12
8, 8, 40
97, 40, 45
251, 97, 57
45, 210, 49
40, 24, 24
8, 8, 32
20, 61, 20
158, 105, 16
89, 85, 93
4, 198, 4
219, 73, 40
57, 57, 65
186, 89, 12
97, 97, 235
32, 24, 24
198, 202, 219
97, 32, 24
174, 105, 97
198, 32, 4
0, 69, 4
105, 105, 109
20, 16, 113
69, 73, 73
24, 24, 40
251, 97, 65
69, 20, 16
130, 138, 146
125, 93, 93
32, 32, 40
0, 0, 182
105, 0, 0
24, 227, 24
125, 32, 28
28, 16, 16
8, 8, 97
190, 186, 186
16, 77, 85
40, 4, 20
251, 65, 24
69, 69, 198
223, 223, 235
57, 45, 117
251, 85, 49
251, 57, 16
105, 210, 113
154, 53, 40
105, 40, 32
28, 0, 16
251, 32, 0
49, 24, 24
16, 24, 24
8, 12, 81
190, 190, 210
12, 16, 61
0, 0, 146
49, 45, 65
251, 77, 40
231, 28, 0
223, 162, 162
105, 105, 162
20, 20, 198
247, 36, 32
174, 206, 190
162, 162, 174
194, 16, 0
85, 20, 24
24, 24, 57
186, 69, 45
231, 8, 8
73, 28, 65
61, 4, 12
49, 49, 49
32, 32, 32
0, 150, 0
105, 16, 12
73, 73, 81
121, 121, 134
81, 45, 158
247, 150, 134
150, 32, 20
101, 81, 85
146, 146, 162
8, 113, 12
65, 65, 227
0, 0, 73
24, 97, 4
121, 121, 243
251, 117, 101
231, 53, 20
8, 85, 8
125, 12, 4
65, 65, 73
150, 154, 170
239, 243, 247
186, 81, 73
65, 24, 24
0, 0, 121
40, 150, 16
4, 61, 61
243, 202, 194
24, 40, 24
24, 36, 146
251, 65, 32
154, 8, 0
170, 170, 251
243, 223, 219
251, 105, 65
20, 194, 20
24, 0, 24
40, 40, 57
20, 20, 130
73, 32, 24
174, 178, 194
32, 32, 57
45, 16, 105
57, 57, 182
247, 178, 170
178, 32, 20
24, 32, 24
4, 49, 12
227, 28, 28
45, 49, 150
65, 219, 73
251, 40, 8
81, 81, 97
12, 170, 16
198, 32, 16
138, 138, 142
210, 206, 227
109, 61, 61
28, 53, 32
